,temperature_00,wind_direction_00,wind_speed_00,temperature_08,wind_direction_08,wind_speed_08,temperature_16,wind_direction_16,wind_speed_16,power
2020-12-27,7.123225402832023,103.17663,8.133746,6.454002189636235,107.79322,6.326991,7.219884363810208,119.070526,3.062219,2621.476
2020-12-28,5.376270421346036,118.08433,5.558247,8.11883894602458,116.193535,8.565966,9.30717620849609,120.26443,11.993913,5423.625
2020-12-29,8.593436050415027,115.43259,12.18185,8.587968126932784,112.93136,11.970859,8.956770960489905,110.161095,11.301485,9132.115
2020-12-30,8.06903266906737,103.169685,9.983466,7.930485343933108,106.04551,6.3815556,8.228901418050114,111.60216,4.0873585,3667.9927
